waypoint1	waypoint2	distance_m	duration_s
Michigan State Capitol, Lansing, MI 48933	Rhode Island State House, 82 Smith Street, Providence, RI 02903	1242190	41580
Minnesota State Capitol, St Paul, MN 55155	New Mexico State Capitol, Santa Fe, NM 87501	1931932	64455
Connecticut State Capitol, 210 Capitol Ave, Hartford, CT 06106	State House, 107 North Main Street, Concord, NH 03303	258007	9036
State House, 107 North Main Street, Concord, NH 03303	Oregon State Capitol, 900 Court St NE, Salem, OR 97301	5020691	166640
Arkansas State Capitol, 500 Woodlane Street, Little Rock, AR 72201	Missouri State Capitol, Jefferson City, MO 65101	548413	21278
Maine State House, Augusta, ME 04330	Washington State Capitol Bldg, 416 Sid Snyder Ave SW, Olympia, WA 98504	5227421	169692
New York State Capitol, State St. and Washington Ave, Albany, NY 12224	Texas Capitol, 1100 Congress Avenue, Austin, TX 78701	2969285	97197
New York State Capitol, State St. and Washington Ave, Albany, NY 12224	North Dakota State Capitol, Bismarck, ND 58501	2668685	87073
Massachusetts State House, Boston, MA 02108	Nebraska State Capitol, 1445 K Street, Lincoln, NE 68509	2396299	79094
500 E Capitol Ave, Pierre, SD 57501	Texas Capitol, 1100 Congress Avenue, Austin, TX 78701	1798030	61440
Alabama State Capitol, 600 Dexter Avenue, Montgomery, AL 36130	South Carolina State House, 1100 Gervais Street, Columbia, SC 29201	593674	18813
New York State Capitol, State St. and Washington Ave, Albany, NY 12224	Pennsylvania State Capitol Building, North 3rd Street, Harrisburg, PA 17120	473386	16157
Nevada State Capitol, Carson City, NV 89701	Texas Capitol, 1100 Congress Avenue, Austin, TX 78701	2710776	91569
Iowa State Capitol, 1007 E Grand Ave, Des Moines, IA 50319	Utah State Capitol, Salt Lake City, UT 84103	1719270	55649
Missouri State Capitol, Jefferson City, MO 65101	New Mexico State Capitol, Santa Fe, NM 87501	1436727	49986
Illinois State Capitol, Springfield, IL 62756	Michigan State Capitol, Lansing, MI 48933	628469	20726
Rhode Island State House, 82 Smith Street, Providence, RI 02903	Washington State Capitol Bldg, 416 Sid Snyder Ave SW, Olympia, WA 98504	4958572	161309
State House, 107 North Main Street, Concord, NH 03303	Oklahoma State Capitol, Oklahoma City, OK 73105	2691875	90772
Michigan State Capitol, Lansing, MI 48933	Missouri State Capitol, Jefferson City, MO 65101	937965	31986
L St & 10th St, Sacramento, CA 95814	Minnesota State Capitol, St Paul, MN 55155	3104343	99206
Connecticut State Capitol, 210 Capitol Ave, Hartford, CT 06106	Maine State House, Augusta, ME 04330	410528	13908
200 E Colfax Ave, Denver, CO 80203	Illinois State Capitol, Springfield, IL 62756	1465413	47307
Ohio State Capitol, 1 Capitol Square, Columbus, OH 43215	South Carolina State House, 1100 Gervais Street, Columbia, SC 29201	832772	28700
Georgia State Capitol, Atlanta, GA 30334	Minnesota State Capitol, St Paul, MN 55155	1803540	57825
Arizona State Capitol, 1700 W Washington St, Phoenix, AZ 85007	New York State Capitol, State St. and Washington Ave, Albany, NY 12224	3997144	130213
L St & 10th St, Sacramento, CA 95814	Michigan State Capitol, Lansing, MI 48933	3620857	115788
Oklahoma State Capitol, Oklahoma City, OK 73105	2 E Main St, Madison, WI 53703	1345956	43653
L St & 10th St, Sacramento, CA 95814	Illinois State Capitol, Springfield, IL 62756	3161763	102153
700 W Jefferson St, Boise, ID 83720	New York State Capitol, State St. and Washington Ave, Albany, NY 12224	4018994	129588
700 W Jefferson St, Boise, ID 83720	Montana State Capitol, 1301 E 6th Ave, Helena, MT 59601	782531	26498
New York State Capitol, State St. and Washington Ave, Albany, NY 12224	South Carolina State House, 1100 Gervais Street, Columbia, SC 29201	1365529	45341
North Carolina State Capitol, Raleigh, NC 27601	West Virginia State Capitol, Charleston, WV 25317	509177	17685
Georgia State Capitol, Atlanta, GA 30334	Illinois State Capitol, Springfield, IL 62756	999064	32984
Missouri State Capitol, Jefferson City, MO 65101	2 E Main St, Madison, WI 53703	697472	24636
500 E Capitol Ave, Pierre, SD 57501	2 E Main St, Madison, WI 53703	1044717	33797
